signal_id,market_snapshot_id,forecast_bundle_id,model_version,generated_at_utc,timestamp_utc,market,city,station,target_date,threshold_f,yes_ask,no_ask,predicted_high_f,model_prob_yes,model_prob_no,yes_edge,no_edge,best_side,signal,confidence_label,max_loss,max_profit,reward_risk,expected_value_yes,expected_value_no,breakeven_probability,closing_yes,closing_no,closing_timestamp,closing_line_value,clv_available,clv_note,forecast_sources,signal_reason,notes
2026-06-16 10:30:00+00:00,Test,TestCity,KMDW,2026-06-17,,0.1,0.9,85.0,0.999999996684254,3.31574601108997e-09,0.899999996684254,-0.899999996684254,YES,BUY_YES,STRONG,0.1,0.9,9.0,0.899999996684254,-0.899999996684254,0.1,,,,,,,,,,,,,,
2026-06-16 10:30:00+00:00,Test,TestCity,KMDW,2026-06-17,,,0.9,65.0,0.0139034475134985,0.9860965524865014,,0.0860965524865013,,NO_TRADE,WEAK,,,,,0.0860965524865013,,,,,,,,,,,,,,,
2026-06-16 10:30:00+00:00,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,,0.86,0.27,66.38,0.0071825827795038,0.992817417220496,-0.8728174172204961,0.7028174172204961,NO,BUY_NO,STRONG,0.27,0.73,2.703703703703704,-0.8528174172204961,0.7228174172204961,0.88,,,,,,,,,,,,,,
2026-06-16 10:30:00+00:00,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,,0.77,0.35,66.38,0.0021997462283999,0.9978002537716,-0.7878002537716001,0.6278002537716001,NO,BUY_NO,STRONG,0.35,0.65,1.8571428571428568,-0.7678002537716001,0.6478002537716001,0.79,,,,,,,,,,,,,,
2026-06-16 10:30:00+00:00,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,,0.49,0.64,66.38,0.0005810963532213,0.9994189036467788,-0.5094189036467787,0.3394189036467786,NO,BUY_NO,STRONG,0.64,0.36,0.5625,-0.4894189036467786,0.3594189036467786,0.51,,,,,,,,,,,,,,
2026-06-16 10:30:00+00:00,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,,0.26,0.87,66.38,0.0001321448191632,0.9998678551808368,-0.2798678551808368,0.1098678551808367,NO,BUY_NO,MEDIUM,0.87,0.13,0.1494252873563218,-0.2598678551808367,0.1298678551808367,0.28,,,,,,,,,,,,,,
2026-06-16 10:30:00+00:00,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,,0.11,,66.38,2.582857322808163e-05,0.999974171426772,-0.1299741714267719,,,NO_TRADE,NONE,,,,-0.1099741714267719,,0.13,,,,,,,,,,,,,,
2026-06-16 10:30:00+00:00,Test,TestCity,KMDW,2026-06-17,,0.1,0.9,85.0,0.999999996684254,3.31574601108997e-09,0.899999996684254,-0.899999996684254,,NO_TRADE,STRONG,,,,0.899999996684254,-0.899999996684254,0.1,0.1,0.9,2026-06-16 10:30:00+00:00,LOW_LIQUIDITY(volume=10.0 < min=20),,,,,,,,,,
a3b4a6bcceff202bb119f432f277af961957ef4fd877afa83504b8ba8564ff11,d3cf3d3b170aefe4ccf3dab8c95cf3a49123327b0d9136822a6b34a9f41d440f,,1.0,,2026-06-16 10:30:00+00:00,Test,TestCity,KMDW,2026-06-17,70.0,0.1,0.9,85.0,0.999999996684254,3.3157460110899706e-09,0.899999996684254,-0.899999996684254,YES,BUY_YES,STRONG,0.1,0.9,9.0,0.899999996684254,-0.899999996684254,0.1,,,,,0.0,"CLV is calculated only during historical evaluation, not during live signal generation.",,YES_EDGE=0.9000>=min(0.1),
a7a4d69b48adca2d837dad0cbd8eed2a8c9a225e5a3c36bfaee165cf72c87793,a1af557e498b011c95f811d2d14eee194f47e1617c52399c889880f70d282d78,,1.0,,2026-06-16 10:30:00+00:00,Test,TestCity,KMDW,2026-06-17,70.0,,0.9,65.0,0.01390344751349859,0.9860965524865014,,0.08609655248650139,,NO_TRADE,WEAK,,,,,0.08609655248650139,,,,,,0.0,"CLV is calculated only during historical evaluation, not during live signal generation.",,NO_EDGE; WARN:ASKS_SUM_LT_1,
