timestamp_utc,market,city,station,target_date,threshold_f,threshold_high,unit,comparison,underlying,direction,yes_ask,no_ask,yes_bid,no_bid,volume,notes
2026-06-16T18:00:00Z,Seoul High,Seoul,SEOUL,2026-06-17,28,,C,EQUALS,HIGH,ABOVE,0.35,0.65,,,48000,28C
2026-06-16T18:00:00Z,Seoul High,Seoul,SEOUL,2026-06-17,29,,C,EQUALS,HIGH,ABOVE,0.34,0.66,,,48000,29C
2026-06-16T18:00:00Z,Hong Kong High,Hong Kong,HONGKONG,2026-06-17,28,,C,EQUALS,HIGH,ABOVE,0.37,0.63,,,34000,28C
2026-06-16T18:00:00Z,Hong Kong High,Hong Kong,HONGKONG,2026-06-17,27,,C,EQUALS,HIGH,ABOVE,0.30,0.70,,,34000,27C
2026-06-16T18:00:00Z,Taipei High,Taipei,TAIPEI,2026-06-17,34,,C,ATLEAST,HIGH,ABOVE,0.36,0.64,,,29000,34C or higher
2026-06-16T18:00:00Z,Taipei High,Taipei,TAIPEI,2026-06-17,32,,C,EQUALS,HIGH,ABOVE,0.22,0.78,,,29000,32C
2026-06-16T18:00:00Z,Chongqing High,Chongqing,CHONGQING,2026-06-17,26,,C,EQUALS,HIGH,ABOVE,0.31,0.69,,,28000,26C
2026-06-16T18:00:00Z,Chongqing High,Chongqing,CHONGQING,2026-06-17,25,,C,ATMOST,HIGH,ABOVE,0.29,0.71,,,28000,25C or below
2026-06-16T18:00:00Z,Paris High,Paris,PARIS,2026-06-17,32,,C,EQUALS,HIGH,ABOVE,0.39,0.61,,,28000,32C
2026-06-16T18:00:00Z,Paris High,Paris,PARIS,2026-06-17,31,,C,EQUALS,HIGH,ABOVE,0.27,0.73,,,28000,31C
2026-06-16T18:00:00Z,London High,London,LONDON,2026-06-17,24,,C,EQUALS,HIGH,ABOVE,0.36,0.64,,,27000,24C
2026-06-16T18:00:00Z,London High,London,LONDON,2026-06-17,25,,C,EQUALS,HIGH,ABOVE,0.32,0.68,,,27000,25C
2026-06-16T18:00:00Z,Kuala Lumpur High,Kuala Lumpur,KUALALUMPUR,2026-06-17,32,,C,EQUALS,HIGH,ABOVE,0.37,0.63,,,25000,32C
2026-06-16T18:00:00Z,Kuala Lumpur High,Kuala Lumpur,KUALALUMPUR,2026-06-17,31,,C,EQUALS,HIGH,ABOVE,0.27,0.73,,,25000,31C
2026-06-16T18:00:00Z,Helsinki High,Helsinki,HELSINKI,2026-06-17,19,,C,EQUALS,HIGH,ABOVE,0.30,0.70,,,23000,19C
2026-06-16T18:00:00Z,Helsinki High,Helsinki,HELSINKI,2026-06-17,18,,C,EQUALS,HIGH,ABOVE,0.26,0.74,,,23000,18C
2026-06-16T18:00:00Z,Munich High,Munich,MUNICH,2026-06-17,27,,C,EQUALS,HIGH,ABOVE,0.38,0.62,,,23000,27C
2026-06-16T18:00:00Z,Munich High,Munich,MUNICH,2026-06-17,26,,C,EQUALS,HIGH,ABOVE,0.36,0.64,,,23000,26C
2026-06-16T18:00:00Z,Shanghai High,Shanghai,SHANGHAI,2026-06-17,29,,C,EQUALS,HIGH,ABOVE,0.36,0.64,,,21000,29C
2026-06-16T18:00:00Z,Shanghai High,Shanghai,SHANGHAI,2026-06-17,28,,C,EQUALS,HIGH,ABOVE,0.25,0.75,,,21000,28C
2026-06-16T18:00:00Z,Jeddah High,Jeddah,JEDDAH,2026-06-17,39,,C,EQUALS,HIGH,ABOVE,0.40,0.60,,,21000,39C
2026-06-16T18:00:00Z,Jeddah High,Jeddah,JEDDAH,2026-06-17,40,,C,ATLEAST,HIGH,ABOVE,0.38,0.62,,,21000,40C or higher
2026-06-16T18:00:00Z,Milan High,Milan,MILAN,2026-06-17,32,,C,EQUALS,HIGH,ABOVE,0.35,0.65,,,20000,32C
2026-06-16T18:00:00Z,Milan High,Milan,MILAN,2026-06-17,33,,C,EQUALS,HIGH,ABOVE,0.35,0.65,,,20000,33C
2026-06-16T18:00:00Z,Beijing High,Beijing,BEIJING,2026-06-17,31,,C,EQUALS,HIGH,ABOVE,0.35,0.65,,,18000,31C
2026-06-16T18:00:00Z,Beijing High,Beijing,BEIJING,2026-06-17,30,,C,EQUALS,HIGH,ABOVE,0.25,0.75,,,18000,30C
2026-06-16T18:00:00Z,Shenzhen High,Shenzhen,SHENZHEN,2026-06-17,28,,C,EQUALS,HIGH,ABOVE,0.29,0.71,,,18000,28C
2026-06-16T18:00:00Z,Shenzhen High,Shenzhen,SHENZHEN,2026-06-17,29,,C,EQUALS,HIGH,ABOVE,0.28,0.72,,,18000,29C
2026-06-16T18:00:00Z,Chengdu High,Chengdu,CHENGDU,2026-06-17,24,,C,ATMOST,HIGH,ABOVE,0.34,0.66,,,17000,24C or below
2026-06-16T18:00:00Z,Chengdu High,Chengdu,CHENGDU,2026-06-17,25,,C,EQUALS,HIGH,ABOVE,0.30,0.70,,,17000,25C
2026-06-16T18:00:00Z,Wellington High,Wellington,WELLINGTON,2026-06-17,15,,C,EQUALS,HIGH,ABOVE,0.51,0.49,,,16000,15C
2026-06-16T18:00:00Z,Wellington High,Wellington,WELLINGTON,2026-06-17,16,,C,EQUALS,HIGH,ABOVE,0.26,0.74,,,16000,16C
2026-06-16T18:00:00Z,Tokyo High,Tokyo,TOKYO,2026-06-17,27,,C,EQUALS,HIGH,ABOVE,0.40,0.60,,,16000,27C
2026-06-16T18:00:00Z,Tokyo High,Tokyo,TOKYO,2026-06-17,26,,C,EQUALS,HIGH,ABOVE,0.37,0.63,,,16000,26C
2026-06-16T18:00:00Z,Miami High,Miami,MIAMI,2026-06-17,92,93,F,RANGE,HIGH,ABOVE,0.60,0.40,,,15000,92-93F
2026-06-16T18:00:00Z,Miami High,Miami,MIAMI,2026-06-17,90,91,F,RANGE,HIGH,ABOVE,0.15,0.85,,,15000,90-91F
2026-06-16T18:00:00Z,Lucknow High,Lucknow,LUCKNOW,2026-06-17,39,,C,EQUALS,HIGH,ABOVE,0.43,0.57,,,15000,39C
2026-06-16T18:00:00Z,Lucknow High,Lucknow,LUCKNOW,2026-06-17,40,,C,EQUALS,HIGH,ABOVE,0.26,0.74,,,15000,40C
